District,crop_name,crop_type,Area,Production
BHAGALPUR,Beans(All Including,vegetables,310,2686.67
BHOJPUR,Beans(All Including,vegetables,310,2790
BUXAR,Beans(All Including,vegetables,310,2273.34
DARBHANGA,Beans(All Including,vegetables,810,6277.5
GAYA,Beans(All Including,vegetables,310,310
GOPALGANJ,Beans(All Including,vegetables,300,1800
JAMUI,Beans(All Including,vegetables,200,1200
JEHANABAD,Beans(All Including,vegetables,200,1200
KAIMUR (BHABUA),Beans(All Including,vegetables,200,1200
KATIHAR,Beans(All Including,vegetables,1000,8200
KHAGARIA,Beans(All Including,vegetables,200,1500
KISHANGANJ,Beans(All Including,vegetables,200,1500
LAKHISARAI,Beans(All Including,vegetables,-,-
MADHEPURA,Beans(All Including,vegetables,700,5200
MADHUBANI,Beans(All Including,vegetables,300,2600
MUNGER,Beans(All Including,vegetables,200,1900
MUZAFFARPUR,Beans(All Including,vegetables,700,5500
NALANDA,Beans(All Including,vegetables,900,7500
NAWADA,Beans(All Including,vegetables,200,1400
PASHCHIM CHAMPARAN,Beans(All Including,vegetables,400,3800
PATNA,Beans(All Including,vegetables,400,3600
PURBI CHAMPARAN,Beans(All Including,vegetables,400,3200
PURNIA,Beans(All Including,vegetables,500,3700
ROHTAS,Beans(All Including,vegetables,200,1200
SAHARSA,Beans(All Including,vegetables,700,5500
SAMASTIPUR,Beans(All Including,vegetables,400,3600
SARAN,Beans(All Including,vegetables,300,1900
SHEIKHPURA,Beans(All Including,vegetables,100,900
SHEOHAR,Beans(All Including,vegetables,100,1000
SITAMARHI,Beans(All Including,vegetables,200,1300
SIWAN,Beans(All Including,vegetables,1000,7200
SUPAUL,Beans(All Including,vegetables,3600,2500
VAISHALI,Beans(All Including,vegetables,800,6500
ARARIA,Bitter Gourd,vegetables,175,1050
ARWAL,Bitter Gourd,vegetables,110,880
AURANGABAD,Bitter Gourd,vegetables,100,700
BANKA,Bitter Gourd,vegetables,102,612
BEGUSARAI,Bitter Gourd,vegetables,302,1510
BHAGALPUR,Bitter Gourd,vegetables,300,2000
BHOJPUR,Bitter Gourd,vegetables,305,2643.34
BUXAR,Bitter Gourd,vegetables,310,1900
DARBHANGA,Bitter Gourd,vegetables,402,2412
GAYA,Bitter Gourd,vegetables,305,305
GOPALGANJ,Bitter Gourd,vegetables,200,1300
JAMUI,Bitter Gourd,vegetables,100,600
JEHANABAD,Bitter Gourd,vegetables,100,900
KAIMUR (BHABUA),Bitter Gourd,vegetables,100,700
KATIHAR,Bitter Gourd,vegetables,600,4800
KHAGARIA,Bitter Gourd,vegetables,100,800
KISHANGANJ,Bitter Gourd,vegetables,200,1600
LAKHISARAI,Bitter Gourd,vegetables,-,-
MADHEPURA,Bitter Gourd,vegetables,500,3400
MADHUBANI,Bitter Gourd,vegetables,301,2307.66
MUNGER,Bitter Gourd,vegetables,200,1300
MUZAFFARPUR,Bitter Gourd,vegetables,400,3100
NALANDA,Bitter Gourd,vegetables,500,4000
NAWADA,Bitter Gourd,vegetables,100,800
PASHCHIM CHAMPARAN,Bitter Gourd,vegetables,300,2400
PATNA,Bitter Gourd,vegetables,300,2500
PURBI CHAMPARAN,Bitter Gourd,vegetables,400,2500
PURNIA,Bitter Gourd,vegetables,400,2600
ROHTAS,Bitter Gourd,vegetables,200,1100
SAHARSA,Bitter Gourd,vegetables,500,3600
SAMASTIPUR,Bitter Gourd,vegetables,400,2900
SARAN,Bitter Gourd,vegetables,200,1200
SHEIKHPURA,Bitter Gourd,vegetables,100,600
SHEOHAR,Bitter Gourd,vegetables,100,600
SITAMARHI,Bitter Gourd,vegetables,100,1000
SIWAN,Bitter Gourd,vegetables,200,1300
SUPAUL,Bitter Gourd,vegetables,200,1100
VAISHALI,Bitter Gourd,vegetables,500,4300
ARARIA,Bottle Gourd,vegetables,425,8287.5
ARWAL,Bottle Gourd,vegetables,500,8700
AURANGABAD,Bottle Gourd,vegetables,703,12955.29
BANKA,Bottle Gourd,vegetables,410,6855.43
BEGUSARAI,Bottle Gourd,vegetables,1110,23108.19
BHAGALPUR,Bottle Gourd,vegetables,1205,26309.16
BHOJPUR,Bottle Gourd,vegetables,710,16025.72
